"cohort","full_name","owner","stars","pushed_at","url","query"
"ai_native","always-further/nono","always-further","933","2026-03-11T23:00:26Z","https://github.com/always-further/nono","""agent framework"" in:name,description,readme pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","affaan-m/everything-claude-code","affaan-m","72009","2026-03-11T23:00:03Z","https://github.com/affaan-m/everything-claude-code","""agent orchestration"" in:name,description,readme pushed:>=2025-01-01 stars:>=15 archived:false fork:false size:<200000"
"ai_native","exa-labs/exa-mcp-server","exa-labs","3985","2026-03-11T22:59:36Z","https://github.com/exa-labs/exa-mcp-server","topic:model-context-protocol pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","ForceInjection/AI-fundermentals","ForceInjection","904","2026-03-11T22:59:27Z","https://github.com/ForceInjection/AI-fundermentals","topic:ai-agent pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","embabel/embabel-agent","embabel","3165","2026-03-11T22:58:23Z","https://github.com/embabel/embabel-agent","""agent framework"" in:name,description,readme pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","NVIDIA/NeMo-Agent-Toolkit","NVIDIA","1892","2026-03-11T22:57:38Z","https://github.com/NVIDIA/NeMo-Agent-Toolkit","""agent framework"" in:name,description,readme pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","holon-run/uxc","holon-run","79","2026-03-11T22:57:19Z","https://github.com/holon-run/uxc","topic:model-context-protocol pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","katanemo/plano","katanemo","5938","2026-03-11T22:53:34Z","https://github.com/katanemo/plano","""agent orchestration"" in:name,description,readme pushed:>=2025-01-01 stars:>=15 archived:false fork:false size:<200000"
"ai_native","roberto-mello/beads-compound-plugin","roberto-mello","22","2026-03-11T22:53:22Z","https://github.com/roberto-mello/beads-compound-plugin","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","conductor-oss/conductor","conductor-oss","31499","2026-03-11T22:52:22Z","https://github.com/conductor-oss/conductor","""agent orchestration"" in:name,description,readme pushed:>=2025-01-01 stars:>=15 archived:false fork:false size:<200000"
"ai_native","ihor-sokoliuk/mcp-searxng","ihor-sokoliuk","519","2026-03-11T22:48:56Z","https://github.com/ihor-sokoliuk/mcp-searxng","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","symgraph/GhidrAssistMCP","symgraph","520","2026-03-11T22:47:08Z","https://github.com/symgraph/GhidrAssistMCP","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","getsentry/XcodeBuildMCP","getsentry","4683","2026-03-11T22:40:42Z","https://github.com/getsentry/XcodeBuildMCP","topic:model-context-protocol pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","Miosa-osa/OSA","Miosa-osa","19","2026-03-11T22:38:16Z","https://github.com/Miosa-osa/OSA","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","provos/ironcurtain","provos","120","2026-03-11T22:38:14Z","https://github.com/provos/ironcurtain","topic:model-context-protocol pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","vladkesler/initrunner","vladkesler","20","2026-03-11T22:36:07Z","https://github.com/vladkesler/initrunner","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","samugit83/redamon","samugit83","1546","2026-03-11T22:32:06Z","https://github.com/samugit83/redamon","""agent orchestration"" in:name,description,readme pushed:>=2025-01-01 stars:>=15 archived:false fork:false size:<200000"
"ai_native","decocms/studio","decocms","348","2026-03-11T22:29:30Z","https://github.com/decocms/studio","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","paperclipai/paperclip","paperclipai","18695","2026-03-11T22:27:12Z","https://github.com/paperclipai/paperclip","""agent orchestration"" in:name,description,readme pushed:>=2025-01-01 stars:>=15 archived:false fork:false size:<200000"
"ai_native","openlegion-ai/openlegion","openlegion-ai","66","2026-03-11T22:24:35Z","https://github.com/openlegion-ai/openlegion","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","RightNow-AI/openfang","RightNow-AI","13796","2026-03-11T22:24:25Z","https://github.com/RightNow-AI/openfang","""agent framework"" in:name,description,readme pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","Arenukvern/mcp_flutter","Arenukvern","260","2026-03-11T22:24:03Z","https://github.com/Arenukvern/mcp_flutter","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","Dataojitori/nocturne_memory","Dataojitori","615","2026-03-11T22:22:38Z","https://github.com/Dataojitori/nocturne_memory","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","ythx-101/openclaw-qa","ythx-101","70","2026-03-11T22:17:56Z","https://github.com/ythx-101/openclaw-qa","topic:ai-agent pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","dynamiq-ai/dynamiq","dynamiq-ai","1035","2026-03-11T22:14:50Z","https://github.com/dynamiq-ai/dynamiq","""agent orchestration"" in:name,description,readme pushed:>=2025-01-01 stars:>=15 archived:false fork:false size:<200000"
"ai_native","martin-ger/esp32_nat_router","martin-ger","1827","2026-03-11T22:13:31Z","https://github.com/martin-ger/esp32_nat_router","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","tensorlakeai/tensorlake","tensorlakeai","887","2026-03-11T22:10:36Z","https://github.com/tensorlakeai/tensorlake","""agent orchestration"" in:name,description,readme pushed:>=2025-01-01 stars:>=15 archived:false fork:false size:<200000"
"ai_native","ag-ui-protocol/ag-ui","ag-ui-protocol","12399","2026-03-11T22:09:30Z","https://github.com/ag-ui-protocol/ag-ui","""agent framework"" in:name,description,readme pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","dbt-labs/dbt-mcp","dbt-labs","506","2026-03-11T22:08:46Z","https://github.com/dbt-labs/dbt-mcp","topic:model-context-protocol pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","mikechao/brave-search-mcp","mikechao","109","2026-03-11T22:08:03Z","https://github.com/mikechao/brave-search-mcp","topic:model-context-protocol pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","suitedaces/dorabot","suitedaces","180","2026-03-11T22:05:37Z","https://github.com/suitedaces/dorabot","topic:ai-agent pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","controlplaneio-fluxcd/flux-operator","controlplaneio-fluxcd","548","2026-03-11T22:04:03Z","https://github.com/controlplaneio-fluxcd/flux-operator","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","upstash/context7","upstash","48610","2026-03-11T22:02:36Z","https://github.com/upstash/context7","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","kayba-ai/agentic-context-engine","kayba-ai","1971","2026-03-11T22:01:51Z","https://github.com/kayba-ai/agentic-context-engine","""agent framework"" in:name,description,readme pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","gptme/gptme","gptme","4216","2026-03-11T22:01:26Z","https://github.com/gptme/gptme","""agent orchestration"" in:name,description,readme pushed:>=2025-01-01 stars:>=15 archived:false fork:false size:<200000"
"ai_native","alfredolopez80/multi-agent-ralph-loop","alfredolopez80","97","2026-03-11T22:00:51Z","https://github.com/alfredolopez80/multi-agent-ralph-loop","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","txn2/kubefwd","txn2","4066","2026-03-11T22:00:46Z","https://github.com/txn2/kubefwd","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","IvanMurzak/Unity-MCP","IvanMurzak","1268","2026-03-11T21:57:58Z","https://github.com/IvanMurzak/Unity-MCP","topic:model-context-protocol pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","anyproto/anytype-mcp","anyproto","330","2026-03-11T21:57:21Z","https://github.com/anyproto/anytype-mcp","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","triggerdotdev/trigger.dev","triggerdotdev","14000","2026-03-11T21:56:39Z","https://github.com/triggerdotdev/trigger.dev","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
