"cohort","full_name","owner","stars","pushed_at","url","query"
"security_platform","owasp-noir/noir","owasp-noir","1181","2026-04-24T14:13:48Z","https://github.com/owasp-noir/noir","topic:devsecops pushed:>=2025-01-01 stars:>=250 -topic:ai -topic:llm archived:false fork:false size:<200000"
"security_platform","xonsh/xonsh","xonsh","9287","2026-04-24T14:13:47Z","https://github.com/xonsh/xonsh","topic:devsecops pushed:>=2025-01-01 stars:>=250 -topic:ai -topic:llm archived:false fork:false size:<200000"
"security_platform","cisagov/ScubaGoggles","cisagov","325","2026-04-24T14:12:17Z","https://github.com/cisagov/ScubaGoggles","topic:security-automation pushed:>=2025-01-01 stars:>=100 -topic:ai -topic:llm archived:false fork:false size:<200000"
"security_platform","arcjet/arcjet-js","arcjet","661","2026-04-24T14:12:11Z","https://github.com/arcjet/arcjet-js","topic:security-tools pushed:>=2025-01-01 stars:>=250 -topic:ai -topic:llm archived:false fork:false size:<200000"
"security_platform","dbarzin/mercator","dbarzin","507","2026-04-24T14:11:05Z","https://github.com/dbarzin/mercator","topic:security-tools pushed:>=2025-01-01 stars:>=250 -topic:ai -topic:llm archived:false fork:false size:<200000"
"security_platform","Security-Onion-Solutions/securityonion","Security-Onion-Solutions","4566","2026-04-24T13:51:33Z","https://github.com/Security-Onion-Solutions/securityonion","topic:security-tools pushed:>=2025-01-01 stars:>=250 -topic:ai -topic:llm archived:false fork:false size:<200000"
"security_platform","saturneric/GpgFrontend","saturneric","714","2026-04-24T13:50:07Z","https://github.com/saturneric/GpgFrontend","topic:security-tools pushed:>=2025-01-01 stars:>=250 -topic:ai -topic:llm archived:false fork:false size:<200000"
"security_platform","x64dbg/x64dbg","x64dbg","48179","2026-04-24T13:44:48Z","https://github.com/x64dbg/x64dbg","topic:security-tools pushed:>=2025-01-01 stars:>=250 -topic:ai -topic:llm archived:false fork:false size:<200000"
"security_platform","osamahamad/payout-targets-data","osamahamad","100","2026-04-24T13:44:31Z","https://github.com/osamahamad/payout-targets-data","topic:security-automation pushed:>=2025-01-01 stars:>=100 -topic:ai -topic:llm archived:false fork:false size:<200000"
"security_platform","ComplianceAsCode/content","ComplianceAsCode","2710","2026-04-24T13:37:38Z","https://github.com/ComplianceAsCode/content","topic:security-tools pushed:>=2025-01-01 stars:>=250 -topic:ai -topic:llm archived:false fork:false size:<200000"
"security_platform","fkie-cad/FACT_core","fkie-cad","1442","2026-04-24T13:36:32Z","https://github.com/fkie-cad/FACT_core","topic:security-automation pushed:>=2025-01-01 stars:>=100 -topic:ai -topic:llm archived:false fork:false size:<200000"
